,id,Sentence,Aspect Term,Polarity,Category
5562,1496,Turned out there was full service upstairs and sat down.,service,positive,Restaurant
113,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,Laptop
5184,2843,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,chef app,positive,Restaurant
2173,245,It is light and the battery last a very long time.,battery,positive,Laptop
1942,2173,"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",programs,neutral,Laptop
3254,1487,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,positive,Restaurant
1543,907,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",accessories,negative,Laptop
3247,3563,We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,neutral,Restaurant
6016,2325,The selection changes frequently but the basic dishes are always available.,selection,neutral,Restaurant
1905,2373,"The screen takes some getting use to, because it is smaller than the laptop.",screen,negative,Laptop
3264,1940,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,positive,Restaurant
4348,2300,less wait time for me!,wait time,positive,Restaurant
1891,2407,You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,software,positive,Laptop
4374,3608,"So, a little inconsistency there but either way, both pizzas were really good.",pizzas,positive,Restaurant
2666,3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,positive,Restaurant
4381,2677,"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",seat,negative,Restaurant
4053,2337,Dahkin also offers prix fixe lunch and buffet.,buffet,positive,Restaurant
252,3074,The screen is bright and the keyboard is nice;,screen,positive,Laptop
350,2540,the programs are esay to use and are quick to process this computer works like a charm.,use,positive,Laptop
2809,504,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",wine list,positive,Restaurant
2576,2588,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,Restaurant
457,70,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,positive,Laptop
3260,1868,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,positive,Restaurant
479,1378,Windows also shuts the computer down for no reason without warning.,Windows,negative,Laptop
1114,2853,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,techs,negative,Laptop
798,3055,It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,positive,Laptop
4256,1595,We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,meal,positive,Restaurant
1820,462,Unable to boot up this brand new laptop.,boot up,negative,Laptop
2926,1055,Great bagels made the old-fashioned way.,bagels,positive,Restaurant
26,2568,I love the way the entire suite of software works together.,suite of software,positive,Laptop
3130,2517,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,positive,Restaurant
1393,2968,"Otherwise, all other features are a 1",features,neutral,Laptop
3333,2862,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,negative,Restaurant
2716,763,"We were seated promptly as we had reservations, however after that the service was slow.",service,negative,Restaurant
1287,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",screen,positive,Laptop
1281,2306,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,video games,neutral,Laptop
1934,581,"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",flatline keyboard,positive,Laptop
4046,472,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",dish,neutral,Restaurant
2099,49,"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.",hard disc,negative,Laptop
4019,3682,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,positive,Restaurant
5190,181,"The food here is rather good, but only if you like to wait for it.",food,positive,Restaurant
5194,2455,"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",bar,neutral,Restaurant
4755,1181,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.",food,neutral,Restaurant
5882,739,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",wine,negative,Restaurant
3620,2915,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,neutral,Restaurant
4788,347,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",roll,negative,Restaurant
4975,153,This is one of the best comfort food places in the city.,comfort food,positive,Restaurant
607,931,  But I needed a laptop for school use.,school use,neutral,Laptop
4473,3380,"While the prices are nothing special, the portions are huge.",prices,neutral,Restaurant
4604,2906,instead ordered an ice cold beer which to me works with indian.,beer,positive,Restaurant
3469,610,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,positive,Restaurant
5740,1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative,Restaurant
4740,894,"Even with the prix fixe pricing, this restaurant is not worth it.",prix fixe pricing,conflict,Restaurant
5251,1519,"The staff is excellent, specjal: that girl behind the bar, european chic.",staff,positive,Restaurant
5944,2406,"For appetizers, I recommend the shrimp fritters and dumplings.",dumplings,positive,Restaurant
5407,1857,The space is nice but when we order our drink we were in for a surprise.,drink,negative,Restaurant
203,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,Laptop
339,2550,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,positive,Laptop
2086,1504,It has just enough RAM to run smoothly and enough memory to satisfy my needs.,RAM,positive,Laptop
837,2032,"The processor went on me, the fan went and the motherboard went.",motherboard,negative,Laptop
4394,16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",reservation,neutral,Restaurant
387,1338,The brand is tarnished in my heart.,brand,negative,Laptop
3285,109,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,positive,Restaurant
4585,8,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",served,negative,Restaurant
3887,1477,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",appetizer,neutral,Restaurant
2577,2588,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,Restaurant
4517,769,Three of us arrived for dinner about 5:30 on a week night without reservations.,dinner,neutral,Restaurant
3492,779,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,reservation,neutral,Restaurant
2095,2692,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",casing,negative,Laptop
3733,486,The corned beef was tender and melted in my mouth.,corned beef,positive,Restaurant
1835,1051,-Touchpad will take a bit of time to get used to.,Touchpad,neutral,Laptop
2509,1402,I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,Restaurant
2579,709,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive,Restaurant
1700,834,"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",price-point,positive,Laptop
5105,3174,Won't or Can't is not in the service directory.,service,positive,Restaurant
677,142,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,negative,Laptop
5076,2879,"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",prices,conflict,Restaurant
3227,277,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",taste,positive,Restaurant
2303,1765,It has a lot of memory and a great battery life.,memory,positive,Laptop
61,147,The keyboard is too slick.,keyboard,negative,Laptop
3214,3554,"if this happens, just ask for real naan.",naan,neutral,Restaurant
3471,3211,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,Restaurant
4172,2239,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,place,conflict,Restaurant
1963,2084,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",Win 7,positive,Laptop
1611,2745,"A cheaper price should not equal a ""cheap"" product.",price,positive,Laptop
790,357,Keyboard is reasonable size.,Keyboard,positive,Laptop
3751,1111,"His drinks are very inventive, delicious and classy.",drinks,positive,Restaurant
3268,1940,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,positive,Restaurant
5479,2252,"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!",cater,positive,Restaurant
4382,2677,"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",bar,neutral,Restaurant
5888,3467,No you're going to go back because the food was good.,food,positive,Restaurant
5559,3247,"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",spinach,positive,Restaurant
1359,79,The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,Windows,neutral,Laptop
3494,916,The food was average or above including some surprising tasty dishes.,food,positive,Restaurant
4434,3683,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",sandwich,neutral,Restaurant
3484,3670,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",glass of wine,neutral,Restaurant
5499,390,i would just ask for no oil next time.,oil,negative,Restaurant
2410,2384,The fried rice is amazing here.,fried rice,positive,Restaurant
733,300,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral,Laptop
3758,2495,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",place,positive,Restaurant
4587,1713,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",people,positive,Restaurant
1870,2067,I now realize that my $900 would have been better spent on a Windows laptop.,Windows,positive,Laptop
5129,1596,"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",pizza,positive,Restaurant
5612,3666,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,waiting area,negative,Restaurant
2913,1672,The food is awesome - definitely try the striped bass.,striped bass,positive,Restaurant
527,2600,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,positive,Laptop
1919,3062,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",screen,positive,Laptop
3158,667,Prices are in line.,Prices,neutral,Restaurant
1578,1061,Every driver on the drivers/applications DVD is everything you will need for a reload.,driver,positive,Laptop
4378,831,I must say it's a little pricey for the food because it was not as spectacular as the view.,food,negative,Restaurant
4678,1357,Total hipster-wannabe attitude in an otherwise sweet spot.,spot,positive,Restaurant
4765,883,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",meat,negative,Restaurant
803,452,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,positive,Laptop
857,15,Runs fast and the regular layout keyboard is so much better.,Runs,positive,Laptop
4519,3026,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",blond wood decor,positive,Restaurant
2462,3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive,Restaurant
2805,2328,Great Indian food and the service is incredible.,Indian food,positive,Restaurant
4110,1095,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,quality of food,positive,Restaurant
4717,799,"The food was just OK, I would never go back.",food,neutral,Restaurant
2932,771,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,lobby area,negative,Restaurant
219,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,Laptop
5604,3341,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",chef,negative,Restaurant
1288,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,positive,Laptop
1115,2976,They only stay charged a little over an hour.,charged,negative,Laptop
582,1580,A great computer for light home use and business use.,home use,positive,Laptop
3218,3492,"Pizza is terrific, as is homemade pasta.",homemade pasta,positive,Restaurant
43,3073,The best thing about this laptop is the price along with some of the newer features.,features,positive,Laptop
3649,285,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive,Restaurant
4299,343,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,Japanese cuisine,negative,Restaurant
2406,425,The price is reasonable although the service is poor.,service,negative,Restaurant
5943,2406,"For appetizers, I recommend the shrimp fritters and dumplings.",shrimp fritters,positive,Restaurant
3250,1925,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef,negative,Restaurant
4897,2737,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,positive,Restaurant
2168,1749,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",iwork,positive,Laptop
2758,3650,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",tonic,neutral,Restaurant
5291,2159,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,positive,Restaurant
1224,1237,The So called laptop Runs to Slow and I hate it!,Runs,negative,Laptop
2850,2102,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum,conflict,Restaurant
5593,464,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",eggplant parmesan,positive,Restaurant
1071,2021,This wiped out several programs that were installed on the computer when it was bought.,programs,negative,Laptop
718,1865,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,neutral,Laptop
